first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
False,B,2007,7,0.391787234042553,0,ACS OMEGA,2017,0,Post
False,B,2007,8,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post
False,B,2007,2,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post
False,B,2007,6,0,0,J. NEUROTRAUMA,2008,0,Post
False,B,2007,6,0.641418604651163,0,BIORESOURCES,2016,0,Post
False,B,2007,5,0,0,FASEB J.,2008,0,Post
False,B,2007,3,0.447896296296296,1,SENS. ACTUATOR B-CHEM.,2017,1,Post
False,B,2007,8,0.352984251968504,1,ACS APPL. MATER. INTERFACES,2017,1,Post
False,B,2007,2,0.428362068965517,1,J. INTELL. MATER. SYST. STRUCT.,2013,0.2,Post
False,B,2007,14,0.730233644859813,1,INVEST. OPHTHALMOL. VIS. SCI.,2016,0.5,Post
False,B,2007,3,0.515316455696202,1,INT. J. CANCER,2017,1,Post
False,B,2007,3,0.535949074074074,1,J. BIOACT. COMPAT. POLYM.,2016,0.5,Post
False,B,2007,2,0.439290322580645,1,PHARM. RES.,2017,1,Post
False,B,2007,4,0.38745,1,ACTA CRYSTALLOGR. SECT. E.-STRUCT REP. ONLINE,2009,0.111111111111111,Post
False,B,2007,6,0.490860759493671,1,PLOS ONE,2016,0.5,Post
False,B,2007,6,0.599068493150685,1,J. BIOMED. MATER. RES. PART B,2011,0.142857142857143,Post
False,B,2007,6,0.344380434782609,1,CURR. PHARM. DESIGN,2016,0.5,Post
False,B,2007,4,0.282959951456311,1,MICROPOROUS MESOPOROUS MAT.,2014,0.25,Post
False,B,2007,5,0.373426666666667,1,BEILSTEIN J. ORG. CHEM.,2008,0.1,Post
False,B,2007,6,0.27128813559322,1,CHEMPHYSCHEM,2017,1,Post
False,B,2007,3,0.278673469387755,1,J. NANOPART. RES.,2012,0.166666666666667,Post
False,B,2007,2,0.476157894736842,1,AICHE J.,2013,0.2,Post
False,B,2007,3,0.281087209302326,1,ADV. MATER. INTERFACES,2015,0.333333333333333,Post
False,B,2007,8,0.432792134831461,1,CHEM. ENG. J.,2017,1,Post
False,B,2007,7,0.242487179487179,1,J. PHYS. CHEM. B,2017,1,Post
False,B,2007,5,0.594008849557522,1,J. NEUROSCI. METHODS,2016,0.5,Post
False,B,2007,5,0.277815789473684,1,AAPS PHARMSCITECH,2010,0.125,Post
False,B,2007,6,0.2895,1,ACTA CRYSTALLOGR. SECT. C-CRYST. STRUCT. COMMUN.,2010,0.125,Post
False,B,2007,3,0.612798245614035,1,NANOMED.-NANOTECHNOL. BIOL. MED.,2017,1,Post
False,B,2007,5,0.297759259259259,1,LANGMUIR,2016,0.5,Post
False,B,2007,2,0.45195652173913,1,INT. J. APPL. CERAM. TECHNOL.,2017,1,Post
False,B,2007,6,0.524546875,1,J. PEDIATR. ORTHOP.-PART B,2015,0.333333333333333,Post
False,B,2007,8,0.37175,1,ACTA BIOMATER.,2016,0.5,Post
False,B,2007,5,0,1,FREE RADIC. BIOL. MED.,2010,0.125,Post
False,B,2007,4,0.514084507042254,2,PHARM. RES.,2016,1,Post
False,B,2007,6,0.559283950617284,2,J. MOL. GRAPH.,2017,2,Post
False,B,2007,6,0.58035,2,CHEMOSPHERE,2011,0.285714285714286,Post
False,B,2007,4,0.119962686567164,2,J. PHYS. CHEM. C,2010,0.25,Post
False,B,2007,6,0.491923076923077,2,SURG. ENDOSC.,2016,1,Post
False,B,2007,5,0.358510869565217,2,BIOTECHNOL. BIOENG.,2017,2,Post
False,B,2007,9,0.254791666666667,2,PROC. NATL. ACAD. SCI. U. S. A.,2017,2,Post
False,B,2007,4,0.407594059405941,2,ACS APPL. MATER. INTERFACES,2017,2,Post
False,B,2007,3,0.221888888888889,2,APPL. PHYS. LETT.,2010,0.25,Post
False,B,2007,4,0.464063492063492,2,ANAL. BIOANAL. CHEM.,2012,0.333333333333333,Post
False,B,2007,4,0.167271186440678,2,J. PHYS. CHEM. B,2012,0.333333333333333,Post
False,B,2007,3,0.640243055555556,2,REV. ENVIRON. HEALTH,2017,2,Post
False,B,2007,4,0.139609756097561,2,J. MATER. RES.,2011,0.285714285714286,Post
False,B,2007,6,0.295717948717949,2,ACTA CRYSTALLOGR. SECT. C-CRYST. STRUCT. COMMUN.,2011,0.285714285714286,Post
False,B,2007,4,0.546446519524618,2,INORGANICS,2017,2,Post
False,B,2007,2,0.492275641025641,2,PHARM. RES.,2016,1,Post
False,B,2007,5,0.213645299145299,2,ACS APPL. MATER. INTERFACES,2016,1,Post
False,B,2007,6,0.512134146341464,2,MATER. TODAY COMMUN.,2017,2,Post
False,B,2007,2,0.442986486486487,2,MATER. SCI. ENG. C-MATER. BIOL. APPL.,2014,0.5,Post
False,B,2007,2,0.624453125,2,LANGMUIR,2016,1,Post
False,B,2007,4,0.284692,2,J. PHYS. CHEM. A,2016,1,Post
False,B,2007,8,0.390194029850746,3,INT. J. PARASIT.,2016,1.5,Post
False,B,2007,7,0.165583333333333,3,PLOS ONE,2012,0.5,Post
False,B,2007,3,0.482634146341464,3,AIMS BIOPHYS.,2015,1,Post
False,B,2007,4,0.352306451612903,3,IND. ENG. CHEM. RES.,2016,1.5,Post
False,B,2007,2,0.533272727272727,3,AIMS BIOENG.,2016,1.5,Post
False,B,2007,2,0.521952380952381,3,CHEM. ENG. SCI.,2011,0.428571428571429,Post
False,B,2007,5,0.246384615384615,3,LUNG,2013,0.6,Post
False,B,2007,4,0.718039215686274,3,ORAL SURG. ORAL MED. ORAL PATHOL. ORAL RADIOL.,2014,0.75,Post
False,B,2007,3,0.543905882352941,3,THER. DELIV.,2015,1,Post
False,B,2007,4,0.224746913580247,3,CRYSTENGCOMM,2015,1,Post
False,B,2007,5,0.466761904761905,3,THER. DELIV.,2016,1.5,Post
False,B,2007,5,0.25624,4,PLOS ONE,2012,0.666666666666667,Post
False,B,2007,3,0.628047619047619,4,ADV. HEALTHC. MATER.,2013,0.8,Post
False,B,2007,6,0.45264347826087,4,SCI REP,2015,1.33333333333333,Post
False,B,2007,3,0.072041666666667,4,J. SCI. EDUC. TECHNOL.,2008,0.4,Post
False,B,2007,5,0.495805555555556,4,J. MATER. PROCESS. TECHNOL.,2015,1.33333333333333,Post
False,B,2007,4,0.514157894736842,4,POLYMERS,2016,2,Post
False,B,2007,6,0.47825,4,J. SURG. RES.,2014,1,Post
False,B,2007,5,0.218432773109244,4,MICROPOROUS MESOPOROUS MAT.,2010,0.5,Post
False,B,2007,7,0.680384297520661,4,MOL. PHARM.,2017,4,Post
False,B,2007,2,0.563457142857143,4,LUNG,2011,0.571428571428571,Post
